PcHyp_1	PcHyp_2	PcHyp_3	LaPc18_1	LaPc18_2	LaPc18_3	LaPc30_1	LaPc30_2	LaPc30_3	LaPc48_1	LaPc48_2	LaPc48_3
IUM83_00320	36	46	40	1	2	0	4	7	0	3	2	3
IUM83_00321	101	75	93	0	0	0	0	0	0	1	0	3
IUM83_00322	2018	2578	1882	28	20	5	223	182	61	412	594	448
IUM83_00323	1080	948	921	16	35	12	165	173	98	182	403	285
IUM83_00324	359	356	371	16	4	0	54	39	29	70	71	52
IUM83_00325	216	224	268	0	0	0	0	0	0	5	26	39
IUM83_00326	783	790	702	0	0	0	23	24	5	51	85	53
IUM83_00327	5563	4229	5312	60	69	18	604	546	286	739	1135	1111
IUM83_00328	3278	2813	3444	21	51	14	249	300	129	363	593	493
IUM83_00329	494	373	472	14	32	5	99	72	23	76	105	96
IUM83_00330	800	845	826	1	4	0	33	38	9	68	166	120
IUM83_00331	1718	1307	1616	16	10	2	117	139	60	206	391	276
IUM83_00332	325	284	328	45	51	25	164	115	99	115	134	136
IUM83_00333	6081	5260	5238	111	153	52	1048	997	388	1362	1977	1721
IUM83_00334	1098	973	1193	8	23	8	101	95	29	126	194	155
IUM83_00335	797	731	702	53	75	24	696	675	236	377	510	416
IUM83_00336	654	649	735	50	69	21	289	151	115	168	232	189
IUM83_00337	0	0	0	0	0	0	0	45	4	590	560	154
IUM83_00338	1	3	1	0	0	0	58	446	54	231	184	92
IUM83_00339	18	20	17	0	0	0	8	10	5	57	55	31
IUM83_00340	30	12	13	0	0	0	41	28	4	56	76	49
IUM83_00341	508	415	576	0	1	0	33	57	3	553	1245	831
IUM83_00342	102	75	127	0	0	0	0	4	0	5	14	0
IUM83_00343	4889	3285	5966	24	24	7	501	317	134	259	535	403
IUM83_00344	267	321	315	6	3	2	25	16	3	8	40	37
IUM83_00345	2511	2059	2541	27	30	15	222	211	80	294	496	356
IUM83_00346	3383	3234	3116	26	43	22	329	278	148	544	807	620
IUM83_00347	9514	8459	10556	143	211	70	1607	1549	631	2125	3576	3509
IUM83_00348	69448	74183	63806	1880	2917	903	14188	12205	5421	21568	28709	21018
IUM83_00349	616	574	566	33	74	29	282	262	135	323	396	297
IUM83_00350	1	2	0	0	0	0	0	0	0	0	1	0
IUM83_00351	2240	2059	2066	49	47	17	370	275	143	529	617	747
IUM83_00352	5597	7486	4158	54	57	28	433	307	144	341	599	344
IUM83_00353	128	99	124	0	0	0	0	0	0	0	0	3
IUM83_00354	76316	80242	65379	2047	3125	969	14821	12390	5443	21655	29385	22225
IUM83_00355	2405	1820	2266	66	152	34	824	646	287	664	1375	767
IUM83_00356	0	2	0	0	0	0	0	0	0	0	0	0
IUM83_00357	320	308	382	0	16	4	26	16	17	40	92	106
IUM83_00358	130	125	186	1	0	0	0	1	0	3	24	52
IUM83_00359	218	275	366	0	0	0	1	0	0	11	52	84
IUM83_00360	872	797	846	15	15	5	183	148	66	589	623	371
IUM83_00361	2830	2024	2645	80	93	51	512	392	245	435	867	635
IUM83_00362	435	306	452	0	4	1	12	16	15	45	53	37
IUM83_00363	304	198	132	0	0	0	2	3	0	0	2	7
IUM83_00364	2	15	4	0	0	0	0	0	0	2	2	0
IUM83_00365	1014	865	992	1	0	0	2	1	1	23	57	116
IUM83_00366	645	494	703	9	10	7	57	57	22	54	107	89
IUM83_00367	4086	3560	3764	21	49	7	295	283	113	463	820	730
IUM83_00368	269	203	244	15	36	4	111	50	39	83	95	51
IUM83_00369	29037	34488	23400	798	1533	510	6425	5269	2377	10128	13166	9984
IUM83_00370	1655	1099	1644	22	32	9	259	261	108	446	494	493
IUM83_00371	1623	1361	1512	2	0	1	55	54	21	142	185	197
IUM83_00372	46739	46993	42667	1833	2846	857	12391	11396	5312	20127	29265	20177
IUM83_00373	1900	2057	2426	8	1	0	27	28	18	51	94	84
IUM83_00374	2025	1471	2084	0	0	0	1	0	3	81	111	118
IUM83_00375	1425	1032	1190	7	6	3	68	63	24	119	194	182
IUM83_00376	6475	6413	6573	9	11	7	160	141	57	387	804	877
IUM83_00377	6761	5818	8621	0	0	0	125	197	39	1066	1788	1806
IUM83_00378	23	26	40	0	1	0	6	1	0	2	9	1
IUM83_00379	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00380	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00381	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00382	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00383	0	2	0	0	0	0	0	0	0	0	0	0
IUM83_00384	183	96	214	0	3	2	6	17	5	24	28	28
IUM83_00385	6232	6129	6792	55	84	22	566	571	208	1082	1548	1213
IUM83_00386	4148	3594	3941	176	237	80	1045	834	399	866	1261	956
IUM83_00387	876	657	859	8	9	2	54	57	19	119	150	154
IUM83_00388	7413	6287	6952	73	111	42	688	733	282	1085	1658	1455
IUM83_00389	1428	1268	1275	6	10	3	55	55	28	131	157	113
IUM83_00390	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00391	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00392	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00393	67	71	49	0	0	0	6	6	0	31	37	60
IUM83_00394	1	2	3	0	0	0	6	17	2	63	108	136
IUM83_00395	42	25	16	0	0	0	6	4	1	19	23	20
IUM83_00396	406	361	217	0	0	0	209	143	59	235	426	244
IUM83_00397	562	479	380	0	0	0	540	367	137	538	958	504
IUM83_00398	856	771	906	13	11	6	100	100	53	147	167	150
IUM83_00399	1361	1153	1235	12	13	5	124	105	39	172	246	201
IUM83_00400	268	203	132	2	4	0	22	7	8	27	46	11
